,,Neighborhood Code,Neighborhood Name,Total Population,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,,Hispanic Origin (of any race)
Bronx,005,BX01,Claremont-Bathgate,"31,078",370,"13,036",82,108,7,60,221,"17,194"
Bronx,005,BX03,Eastchester-Edenwald-Baychester,"34,517","1,111","24,381",147,232,10,148,509,"7,979"
Bronx,005,BX05,Bedford Park-Fordham North,"54,415","3,637","9,805",145,"2,727",29,490,623,"36,959"
Bronx,005,BX06,Belmont,"27,378","5,381","5,059",38,620,18,84,249,"15,929"
Bronx,005,BX07,Bronxdale,"35,538","5,559","10,594",102,"1,404",9,169,430,"17,271"
Bronx,005,BX08,West Farms-Bronx River,"35,011",878,"9,312",121,"1,136",10,743,482,"22,329"
Bronx,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,"53,686","1,067","19,876",161,709,22,239,586,"31,026"
Bronx,005,BX10,Pelham Bay-Country Club-City Island,"26,583","16,488",773,36,969,5,110,252,"7,950"
Bronx,005,BX13,Co-Op City,"43,752","3,723","26,452",108,522,7,125,681,"12,134"
Bronx,005,BX14,East Concourse-Concourse Village,"62,284",971,"24,233",138,928,11,243,626,"35,134"
Bronx,005,BX17,East Tremont,"43,423",627,"12,750",110,229,4,150,333,"29,220"
Bronx,005,BX22,North Riverdale-Fieldston-Riverdale,"27,860","18,794","2,136",26,"1,468",4,91,446,"4,895"
Bronx,005,BX26,Highbridge,"37,727",462,"12,397",69,176,2,103,253,"24,265"
Bronx,005,BX27,Hunts Point,"27,204",342,"6,049",65,187,1,63,192,"20,305"
Bronx,005,BX28,Van Cortlandt Village,"50,100","6,087","8,498",93,"2,386",7,259,479,"32,291"
Bronx,005,BX29,Spuyten Duyvil-Kingsbridge,"30,161","14,872","2,691",40,"1,731",15,98,510,"10,204"
Bronx,005,BX30,Kingsbridge Heights,"32,496","1,389","6,004",46,"1,514",2,124,322,"23,095"
Bronx,005,BX31,Allerton-Pelham Gardens,"28,903","7,316","9,391",55,"2,282",12,252,412,"9,183"
